invoice_number,csv_amount,bq_amount,state,start_date,end_date,_merge,category,amount_diff
INV-108470,34.0,34.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108471,36.0,36.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108472,48.0,48.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108473,150.0,150.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108474,465.0,465.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108475,38.0,37.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108476,926.0,926.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108477,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108478,110.0,110.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108479,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108480,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108481,380.0,380.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108482,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108483,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108484,70.0,70.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108485,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108486,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108487,67.0,66.63,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.37
INV-108488,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108489,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108490,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108491,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108492,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108493,155.0,154.8,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.2
INV-108494,70.0,70.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108495,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108496,27.0,27.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108497,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108498,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108499,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108500,214.0,214.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108501,105.0,105.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108502,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108503,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108504,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108505,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108506,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108507,9700.0,9699.94,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.06
INV-108508,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108509,35.0,,,,,left_only,IN_CSV_NOT_IN_BQ,35.0
INV-108510,396.0,396.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108511,242.0,242.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108512,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108513,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108514,953.0,953.18,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.18
INV-108515,198.0,198.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108516,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108517,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108518,345.0,345.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108519,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108520,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108521,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108522,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108523,71.0,71.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108524,976.0,975.73,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.27
INV-108525,78.0,77.73,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.27
INV-108526,4459.0,4459.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108527,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108528,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108529,200.0,200.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108530,49.0,49.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108531,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108532,340.0,340.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108533,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108534,141.0,140.15,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.85
INV-108535,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108536,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108537,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108538,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108539,224.0,224.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108540,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108541,88.0,88.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108542,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108543,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108544,17872.0,17871.93,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.07
INV-108545,37.0,37.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108546,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108547,485.0,485.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108548,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108549,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108550,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108551,71.0,71.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108552,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108553,98.0,98.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108554,14.0,14.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108555,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108556,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108557,2896.0,2895.67,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.33
INV-108558,39.0,38.56,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.44
INV-108559,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108560,2577.0,2577.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108561,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108562,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108563,60.0,60.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108564,70.0,70.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108565,372.0,372.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108566,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108567,45616.0,45614.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,1.5
INV-108568,178.0,178.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108569,20.0,20.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108570,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108571,2681.0,2680.95,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.05
INV-108572,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108573,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108574,3490.0,3490.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108575,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108576,787.0,786.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108577,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108578,70.0,70.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108579,90.0,90.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108580,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108581,546.0,546.41,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.41
INV-108582,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108583,90.0,90.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108584,3759.0,3758.87,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.13
INV-108585,32316.0,32316.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108586,795.0,794.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108587,2031.0,2031.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108588,76.0,76.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108589,785.0,785.23,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.23
INV-108590,189.0,189.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108591,4624.0,4623.72,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.28
INV-108592,2233.0,2233.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108593,206.0,206.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108594,4470.0,4470.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108595,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108596,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108597,79.0,79.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108598,27.0,27.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108599,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108600,176.0,176.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108601,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108602,453.0,453.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108603,79.0,79.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108604,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108605,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108606,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108607,317.0,317.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108608,219.0,219.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108609,175.0,175.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108610,132.0,132.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108611,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108612,45.0,45.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108613,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108614,437.0,436.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108615,48.0,47.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108616,72.0,71.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108617,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108618,89.0,89.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108619,330.0,330.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108620,724.0,724.29,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.29
INV-108621,137.0,137.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108622,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108623,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108624,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108625,481.0,481.05,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.05
INV-108626,132.0,132.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108627,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108628,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108629,107.0,107.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108630,154.0,154.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108631,92.0,91.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108632,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108633,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108634,94.0,94.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108635,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108636,332.0,332.05,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.05
INV-108637,105.0,104.4,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.6
INV-108638,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108639,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108640,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108641,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108642,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108643,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108644,724.0,724.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108645,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108646,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108647,115.0,115.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108648,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108649,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108650,447.0,447.62,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.62
INV-108651,220.0,219.13,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.87
INV-108652,233.0,233.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108653,693.0,692.63,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.37
INV-108654,861.0,861.45,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.45
INV-108655,2148.0,2147.82,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.18
INV-108656,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108657,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108658,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108659,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108660,98.0,97.7,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.3
INV-108661,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108662,169.0,169.13,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.13
INV-108663,59.0,59.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108664,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108665,102.0,102.2,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.2
INV-108666,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108667,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108668,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108669,795.0,794.89,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.11
INV-108670,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108671,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108672,88.0,88.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108673,40.0,40.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108674,114.0,114.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108675,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108676,201.0,201.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108677,155.0,155.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108678,360.0,359.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108679,55.0,55.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108680,308.0,308.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108681,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108682,104.0,104.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108683,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108684,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108685,462.0,462.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108686,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108687,1912.0,1911.78,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.22
INV-108688,187.0,186.95,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.05
INV-108689,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108690,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108691,1617.0,1617.15,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.15
INV-108692,1841.0,1840.02,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.98
INV-108693,53.0,53.44,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.44
INV-108694,149.0,149.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108695,193.0,193.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108696,60.0,60.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108697,638.0,637.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108698,110.0,110.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108699,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108700,43.0,42.74,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.26
INV-108701,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108702,170.0,170.48,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.48
INV-108703,124.0,124.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108704,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108705,96.0,95.55,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.45
INV-108706,284.0,284.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108707,405.0,405.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108708,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108709,22.0,22.0,overdue,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108710,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108711,49.0,49.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108712,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108713,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108714,602.0,602.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108715,176.0,176.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108716,59.0,59.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108717,89.0,88.88,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.12
INV-108718,98.0,98.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108719,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108720,182.0,182.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108721,4248.0,4247.98,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.02
INV-108722,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108723,127.0,127.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108724,50.0,50.2,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.2
INV-108725,154.0,154.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108726,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108727,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108728,42.0,42.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108729,459.0,459.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108730,154.0,154.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108731,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108732,313.0,313.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108733,67.0,66.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108734,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108735,88.0,88.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108736,132.0,132.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108737,88.0,88.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108738,1342.0,1342.35,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.35
INV-108739,543.0,543.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108740,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108741,130.0,129.88,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.12
INV-108742,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108743,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108744,180.0,180.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108745,213.0,213.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108746,213.0,213.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108747,233.0,233.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108748,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108749,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108750,228.0,228.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108751,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108752,155.0,155.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108753,70.0,70.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108754,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108755,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108756,106.0,106.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108757,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108758,80.0,80.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108759,868.0,868.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108760,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108761,85.0,85.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108762,66.0,66.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108763,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108764,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108765,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108766,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108767,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108768,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108769,48.0,48.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108770,243.0,243.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108771,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108772,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108773,139.0,138.6,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.4
INV-108774,279.0,279.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108775,45.0,45.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108776,84.0,84.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108777,111.0,110.6,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.4
INV-108778,28.0,28.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108779,109.0,109.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108780,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108781,106.0,106.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
